Designator,Mid X,Mid Y,Layer,Rotation
C1,-201.85,-141.2,Bottom,180
C2,-209.75,-148.5,Bottom,90
C3,-232.46,-79.13,Bottom,180
C4,-200.25,-144.35,Bottom,-90
C5,-197.55,-138.4,Bottom,-90
C6,-202.725,-148.45,Bottom,-90
C7,-188.1,-149.1,Bottom,90
C8,-192.53,-130.79,Bottom,90
C9,-146.25,-117.2,Bottom,90
C10,-138.13,-137.15,Bottom,90
C11,-200.25,-147.6,Bottom,-90
C12,-195.6,-151.45,Bottom,-90
C13,-191.1,-151.45,Bottom,-90
C14,-185.45,-148.35,Bottom,180
J1,-232.6275,-57.35,Bottom,0
J2,-228.3,-143.4,Bottom,0
L1,-164.07,-136.75,Bottom,90
L2,-147.545,-136.52,Bottom,90
L3,-154.73,-120.53,Bottom,90
R1,-194.1,-151.45,Bottom,90
R2,-192.6,-151.45,Bottom,90
R3,-189.6,-151.45,Bottom,90
R4,-200.7,-151.45,Bottom,-90
R5,-185.55,-145.9,Bottom,180
R6,-198.6,-151.45,Bottom,-90
R7,-197.1,-151.45,Bottom,-90
R8,-213.3,-147.25,Bottom,180
R9,-213.3,-148.75,Bottom,0
R10,-213.3,-150.25,Bottom,180
R11,-213.3,-151.75,Bottom,0
R12,-219.1,-150.4,Bottom,180
U1,-192.95,-143.65,Bottom,180
U2,-206.2,-148.475,Bottom,0
U3,-147.65,-147.38,Bottom,180
U4,-168.57,-124.7,Bottom,-90
U5,-174.95,-136.8,Bottom,-90
