Reference,Value,Footprint,Mfg Part Number,Quantity Per PCB,LCSC,JLCPCB Part #,Comment,Config,Alternates
"C1,C4,C5,C7",0.22uF,C_0603_1608Metric,CL10B224KA8NNNC,4,C21120,C21120,CAP CER 0.22UF 25V X7R 0603,,
"C2,C3,C6,C8,C9,C10",10uF,C_0805_2012Metric,CL21A106KAYNNNG,6,C15850,C15850,CAP CER 10UF 25V X5R 0805,,
"C11,C12,C13,C14",47nF,C_0603_1608Metric,CL10B473KB8WPNC,4,C1622,C1622,CAP CER 0.047UF 50V X7R 0603,,
J1,Barrel_Jack_Switch,RASM722BK_Barrel,RASM722BK,1,,,CONN PWR JACK 2X5.5MM SOLDER,,
J2,JST PH,JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,S8B-PH-SM4-TB(LF)(SN),1,C265121,C265121,CONN HEADER SMD R/A 8POS 2MM,,
"L1,L2,L3",68u,L_Bourns_SRR1260,SRR1260A-680M,3,,,FIXED IND 68UH 2.1A 110 MOHM SMD,,
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12",1k,R_0603_1608Metric,AC0603JR-101KL,12,0603WAF3001T5E,0603WAF3001T5E,RES 1k 0603 +/- 5% 0.1W Thick Film,,
U2,MCP1754S-3302xCB,SOT-23,TPMCP1703T-3302E/CB,1,C3040638,C3040638,IC REG LIN 3.3V 150MA SOT23A-3,,"MCP1754ST-3302E/CB,TPMCP1703T-3302E/CB"
U1,STM32F051C6Tx,LQFP-48_7x7mm_P0.5mm,STM32F051C8T6,1,C9863,C9863,IC MCU 32BIT 32KB FLASH 48LQFP,,
"U3,U4,U5",ZXBM5210-SP,Diodes_SO-8EP,ZXBM5210-SP-13,3,C460767,C460767,IC MOTOR DRIVER 3V-18V 8SO,,
